
1408380354,Radio,187,2437,1152,Beacn,0a:bd:43:cf:82:a2,NETGEAR-Guest

1408380355,Radio,167,2437,1152,Data,01:80:c2:00:00:00,08:86:3b:72:e8:3e

1408380357,Radio,205,2437,1152,Beacn,ec:1a:59:0a:ff:58,belkin.f58

1408380357,Radio,208,2437,1152,Data,60:03:08:93:6b:ba,ec:1a:59:0a:ff:58

1408380358,Radio,204,2437,1152,Beacn,ec:1a:59:0a:ff:58,belkin.f58

1408380358,Radio,206,2437,1152,Data,60:03:08:93:6b:ba,ec:1a:59:0a:ff:58
